chart_week,title,performer,wks_on_chart
7/24/2021,Permission To Dance,BTS,1
7/24/2021,Good 4 U,Olivia Rodrigo,9
7/24/2021,Stay,The Kid LAROI & Justin Bieber,1
7/24/2021,Levitating,Dua Lipa,41
7/24/2021,Kiss Me More,Doja Cat Featuring SZA,14
7/24/2021,Bad Habits,Ed Sheeran,3
7/24/2021,Butter,BTS,8
7/24/2021,Montero (Call Me By Your Name),Lil Nas X,16
7/24/2021,Save Your Tears,The Weeknd & Ariana Grande,31
7/24/2021,Deja Vu,Olivia Rodrigo,15
7/17/2021,Butter,BTS,7
7/17/2021,Good 4 U,Olivia Rodrigo,8
7/17/2021,Levitating,Dua Lipa Featuring DaBaby,40
7/17/2021,Kiss Me More,Doja Cat Featuring SZA,13
7/17/2021,Montero (Call Me By Your Name),Lil Nas X,15
7/17/2021,Bad Habits,Ed Sheeran,2
7/17/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),18
7/17/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,16
7/17/2021,Save Your Tears,The Weeknd & Ariana Grande,30
7/17/2021,Deja Vu,Olivia Rodrigo,14
7/10/2021,Butter,BTS,6
7/10/2021,Good 4 U,Olivia Rodrigo,7
7/10/2021,Kiss Me More,Doja Cat Featuring SZA,12
7/10/2021,Levitating,Dua Lipa Featuring DaBaby,39
7/10/2021,Bad Habits,Ed Sheeran,1
7/10/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),17
7/10/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,15
7/10/2021,Montero (Call Me By Your Name),Lil Nas X,14
7/10/2021,Save Your Tears,The Weeknd & Ariana Grande,29
7/10/2021,Deja Vu,Olivia Rodrigo,13
7/3/2021,Butter,BTS,5
7/3/2021,Good 4 U,Olivia Rodrigo,6
7/3/2021,Levitating,Dua Lipa Featuring DaBaby,38
7/3/2021,Kiss Me More,Doja Cat Featuring SZA,11
7/3/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,14
7/3/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),16
7/3/2021,Save Your Tears,The Weeknd & Ariana Grande,28
7/3/2021,Montero (Call Me By Your Name),Lil Nas X,13
7/3/2021,Deja Vu,Olivia Rodrigo,12
7/3/2021,Astronaut In The Ocean,Masked Wolf,19
6/26/2021,Butter,BTS,4
6/26/2021,Good 4 U,Olivia Rodrigo,5
6/26/2021,Levitating,Dua Lipa Featuring DaBaby,37
6/26/2021,Kiss Me More,Doja Cat Featuring SZA,10
6/26/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,13
6/26/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),15
6/26/2021,Save Your Tears,The Weeknd & Ariana Grande,27
6/26/2021,Astronaut In The Ocean,Masked Wolf,18
6/26/2021,Montero (Call Me By Your Name),Lil Nas X,12
6/26/2021,Deja Vu,Olivia Rodrigo,11
6/19/2021,Butter,BTS,3
6/19/2021,Good 4 U,Olivia Rodrigo,4
6/19/2021,Levitating,Dua Lipa Featuring DaBaby,36
6/19/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,12
6/19/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),14
6/19/2021,Save Your Tears,The Weeknd & Ariana Grande,26
6/19/2021,Kiss Me More,Doja Cat Featuring SZA,9
6/19/2021,Astronaut In The Ocean,Masked Wolf,17
6/19/2021,Deja Vu,Olivia Rodrigo,10
6/19/2021,Yonaguni,Bad Bunny,1
6/12/2021,Butter,BTS,2
6/12/2021,Good 4 U,Olivia Rodrigo,3
6/12/2021,Levitating,Dua Lipa Featuring DaBaby,35
6/12/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),13
6/12/2021,Save Your Tears,The Weeknd & Ariana Grande,25
6/12/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,11
6/12/2021,Kiss Me More,Doja Cat Featuring SZA,8
6/12/2021,Deja Vu,Olivia Rodrigo,9
6/12/2021,Astronaut In The Ocean,Masked Wolf,16
6/12/2021,Montero (Call Me By Your Name),Lil Nas X,10
6/5/2021,Butter,BTS,1
6/5/2021,Good 4 U,Olivia Rodrigo,2
6/5/2021,Deja Vu,Olivia Rodrigo,8
6/5/2021,Levitating,Dua Lipa Featuring DaBaby,34
6/5/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),12
6/5/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,10
6/5/2021,Save Your Tears,The Weeknd & Ariana Grande,24
6/5/2021,Kiss Me More,Doja Cat Featuring SZA,7
6/5/2021,Traitor,Olivia Rodrigo,1
6/5/2021,Astronaut In The Ocean,Masked Wolf,15
5/29/2021,Good 4 U,Olivia Rodrigo,1
5/29/2021,my.life,"J. Cole, 21 Savage & Morray",1
5/29/2021,Levitating,Dua Lipa Featuring DaBaby,33
5/29/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),11
5/29/2021,amari,J. Cole,1
5/29/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,9
5/29/2021,pride.is.the.devil,J. Cole & Lil Baby,1
5/29/2021,95.south,J. Cole,1
5/29/2021,Save Your Tears,The Weeknd & Ariana Grande,23
5/29/2021,Kiss Me More,Doja Cat Featuring SZA,6
5/22/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),10
5/22/2021,Levitating,Dua Lipa Featuring DaBaby,32
5/22/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,8
5/22/2021,Save Your Tears,The Weeknd & Ariana Grande,22
5/22/2021,Kiss Me More,Doja Cat Featuring SZA,5
5/22/2021,Astronaut In The Ocean,Masked Wolf,13
5/22/2021,Rapstar,Polo G,5
5/22/2021,interlude,J. Cole,1
5/22/2021,Without You,The Kid LAROI,23
5/22/2021,Montero (Call Me By Your Name),Lil Nas X,7
5/15/2021,Save Your Tears,The Weeknd & Ariana Grande,21
5/15/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),9
5/15/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7
5/15/2021,Levitating,Dua Lipa Featuring DaBaby,31
5/15/2021,Kiss Me More,Doja Cat Featuring SZA,4
5/15/2021,Rapstar,Polo G,4
5/15/2021,Astronaut In The Ocean,Masked Wolf,12
5/15/2021,Without You,The Kid LAROI & Miley Cyrus,22
5/15/2021,Montero (Call Me By Your Name),Lil Nas X,6
5/15/2021,Your Power,Billie Eilish,1
5/8/2021,Save Your Tears,The Weeknd & Ariana Grande,20
5/8/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),8
5/8/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,6
5/8/2021,Rapstar,Polo G,3
5/8/2021,Levitating,Dua Lipa Featuring DaBaby,30
5/8/2021,Kiss Me More,Doja Cat Featuring SZA,3
5/8/2021,Montero (Call Me By Your Name),Lil Nas X,5
5/8/2021,Astronaut In The Ocean,Masked Wolf,11
5/8/2021,Up,Cardi B,12
5/8/2021,Drivers License,Olivia Rodrigo,16
5/1/2021,Rapstar,Polo G,2
5/1/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),7
5/1/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,5
5/1/2021,Montero (Call Me By Your Name),Lil Nas X,4
5/1/2021,Levitating,Dua Lipa Featuring DaBaby,29
5/1/2021,Save Your Tears,The Weeknd,19
5/1/2021,Astronaut In The Ocean,Masked Wolf,10
5/1/2021,Kiss Me More,Doja Cat Featuring SZA,2
5/1/2021,Up,Cardi B,11
5/1/2021,Drivers License,Olivia Rodrigo,15
4/24/2021,Rapstar,Polo G,1
4/24/2021,Montero (Call Me By Your Name),Lil Nas X,3
4/24/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6
4/24/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,4
4/24/2021,Save Your Tears,The Weeknd,18
4/24/2021,Levitating,Dua Lipa Featuring DaBaby,28
4/24/2021,Kiss Me More,Doja Cat Featuring SZA,1
4/24/2021,Up,Cardi B,10
4/24/2021,Drivers License,Olivia Rodrigo,14
4/24/2021,Astronaut In The Ocean,Masked Wolf,9
4/17/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5
4/17/2021,Montero (Call Me By Your Name),Lil Nas X,2
4/17/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3
4/17/2021,Up,Cardi B,9
4/17/2021,Drivers License,Olivia Rodrigo,13
4/17/2021,Save Your Tears,The Weeknd,17
4/17/2021,Levitating,Dua Lipa Featuring DaBaby,27
4/17/2021,Deja Vu,Olivia Rodrigo,1
4/17/2021,Blinding Lights,The Weeknd,70
4/17/2021,Astronaut In The Ocean,Masked Wolf,8
4/10/2021,Montero (Call Me By Your Name),Lil Nas X,1
4/10/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2
4/10/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4
4/10/2021,Up,Cardi B,8
4/10/2021,Drivers License,Olivia Rodrigo,12
4/10/2021,Save Your Tears,The Weeknd,16
4/10/2021,Levitating,Dua Lipa Featuring DaBaby,26
4/10/2021,Blinding Lights,The Weeknd,69
4/10/2021,Mood,24kGoldn Featuring iann dior,34
4/10/2021,What You Know Bout Love,Pop Smoke,30
4/3/2021,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1
4/3/2021,Up,Cardi B,7
4/3/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3
4/3/2021,Drivers License,Olivia Rodrigo,11
4/3/2021,Save Your Tears,The Weeknd,15
4/3/2021,Blinding Lights,The Weeknd,68
4/3/2021,Levitating,Dua Lipa Featuring DaBaby,25
4/3/2021,What's Next,Drake,3
4/3/2021,What You Know Bout Love,Pop Smoke,29
4/3/2021,Mood,24kGoldn Featuring iann dior,33
3/27/2021,Up,Cardi B,6
3/27/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2
3/27/2021,Drivers License,Olivia Rodrigo,10
3/27/2021,What's Next,Drake,2
3/27/2021,Save Your Tears,The Weeknd,14
3/27/2021,Blinding Lights,The Weeknd,67
3/27/2021,Levitating,Dua Lipa Featuring DaBaby,24
3/27/2021,Mood,24kGoldn Featuring iann dior,32
3/27/2021,34+35,Ariana Grande,20
3/27/2021,Wants And Needs,Drake Featuring Lil Baby,2
3/20/2021,What's Next,Drake,1
3/20/2021,Wants And Needs,Drake Featuring Lil Baby,1
3/20/2021,Lemon Pepper Freestyle,Drake Featuring Rick Ross,1
3/20/2021,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1
3/20/2021,Drivers License,Olivia Rodrigo,9
3/20/2021,Up,Cardi B,5
3/20/2021,Save Your Tears,The Weeknd,13
3/20/2021,Blinding Lights,The Weeknd,66
3/20/2021,34+35,Ariana Grande,19
3/20/2021,Mood,24kGoldn Featuring iann dior,31
3/13/2021,Drivers License,Olivia Rodrigo,8
3/13/2021,Up,Cardi B,4
3/13/2021,Blinding Lights,The Weeknd,65
3/13/2021,34+35,Ariana Grande,18
3/13/2021,Go Crazy,Chris Brown & Young Thug,43
3/13/2021,Save Your Tears,The Weeknd,12
3/13/2021,Mood,24kGoldn Featuring iann dior,30
3/13/2021,Calling My Phone,Lil Tjay Featuring 6LACK,3
3/13/2021,What You Know Bout Love,Pop Smoke,26
3/13/2021,Levitating,Dua Lipa Featuring DaBaby,22
3/6/2021,Drivers License,Olivia Rodrigo,7
3/6/2021,Up,Cardi B,3
3/6/2021,Go Crazy,Chris Brown & Young Thug,42
3/6/2021,34+35,Ariana Grande,17
3/6/2021,Blinding Lights,The Weeknd,64
3/6/2021,Save Your Tears,The Weeknd,11
3/6/2021,Mood,24kGoldn Featuring iann dior,29
3/6/2021,Calling My Phone,Lil Tjay Featuring 6LACK,2
3/6/2021,Positions,Ariana Grande,18
3/6/2021,Levitating,Dua Lipa Featuring DaBaby,21
2/27/2021,Drivers License,Olivia Rodrigo,6
2/27/2021,34+35,Ariana Grande,16
2/27/2021,Calling My Phone,Lil Tjay Featuring 6LACK,1
2/27/2021,Blinding Lights,The Weeknd,63
2/27/2021,Up,Cardi B,2
2/27/2021,Save Your Tears,The Weeknd,10
2/27/2021,Mood,24kGoldn Featuring iann dior,28
2/27/2021,Go Crazy,Chris Brown & Young Thug,41
2/27/2021,Levitating,Dua Lipa Featuring DaBaby,20
2/27/2021,Positions,Ariana Grande,17
2/20/2021,Drivers License,Olivia Rodrigo,5
2/20/2021,Up,Cardi B,1
2/20/2021,Blinding Lights,The Weeknd,62
2/20/2021,Save Your Tears,The Weeknd,9
2/20/2021,Mood,24kGoldn Featuring iann dior,27
2/20/2021,34+35,Ariana Grande,15
2/20/2021,Go Crazy,Chris Brown & Young Thug,40
2/20/2021,Levitating,Dua Lipa Featuring DaBaby,19
2/20/2021,Positions,Ariana Grande,16
2/20/2021,What You Know Bout Love,Pop Smoke,23
2/13/2021,Drivers License,Olivia Rodrigo,4
2/13/2021,Mood,24kGoldn Featuring iann dior,26
2/13/2021,Blinding Lights,The Weeknd,61
2/13/2021,34+35,Ariana Grande,14
2/13/2021,Levitating,Dua Lipa Featuring DaBaby,18
2/13/2021,Go Crazy,Chris Brown & Young Thug,39
2/13/2021,Positions,Ariana Grande,15
2/13/2021,Save Your Tears,The Weeknd,8
2/13/2021,Holy,Justin Bieber Featuring Chance The Rapper,20
2/13/2021,Whoopty,CJ,13
2/6/2021,Drivers License,Olivia Rodrigo,3
2/6/2021,Mood,24kGoldn Featuring iann dior,25
2/6/2021,Blinding Lights,The Weeknd,60
2/6/2021,34+35,Ariana Grande,13
2/6/2021,Levitating,Dua Lipa Featuring DaBaby,17
2/6/2021,Go Crazy,Chris Brown & Young Thug,38
2/6/2021,Positions,Ariana Grande,14
2/6/2021,Holy,Justin Bieber Featuring Chance The Rapper,19
2/6/2021,Good Days,SZA,5
2/6/2021,Bang!,AJR,30
1/30/2021,Drivers License,Olivia Rodrigo,2
1/30/2021,34+35,Ariana Grande,12
1/30/2021,Mood,24kGoldn Featuring iann dior,24
1/30/2021,Blinding Lights,The Weeknd,59
1/30/2021,Positions,Ariana Grande,13
1/30/2021,Levitating,Dua Lipa Featuring DaBaby,16
1/30/2021,Go Crazy,Chris Brown & Young Thug,37
1/30/2021,Holy,Justin Bieber Featuring Chance The Rapper,18
1/30/2021,Bang!,AJR,29
1/30/2021,Good Days,SZA,4
1/23/2021,Drivers License,Olivia Rodrigo,1
1/23/2021,Mood,24kGoldn Featuring iann dior,23
1/23/2021,Positions,Ariana Grande,12
1/23/2021,Blinding Lights,The Weeknd,58
1/23/2021,Go Crazy,Chris Brown & Young Thug,36
1/23/2021,Levitating,Dua Lipa Featuring DaBaby,15
1/23/2021,Holy,Justin Bieber Featuring Chance The Rapper,17
1/23/2021,Bang!,AJR,28
1/23/2021,Wasted On You,Morgan Wallen,1
1/23/2021,Good Days,SZA,3
1/16/2021,Mood,24kGoldn Featuring iann dior,22
1/16/2021,Positions,Ariana Grande,11
1/16/2021,Blinding Lights,The Weeknd,57
1/16/2021,Holy,Justin Bieber Featuring Chance The Rapper,16
1/16/2021,Go Crazy,Chris Brown & Young Thug,35
1/16/2021,Anyone,Justin Bieber,1
1/16/2021,Levitating,Dua Lipa Featuring DaBaby,14
1/16/2021,Laugh Now Cry Later,Drake Featuring Lil Durk,21
1/16/2021,Bang!,AJR,27
1/16/2021,I Hope,Gabby Barrett Featuring Charlie Puth,54
1/9/2021,Mood,24kGoldn Featuring iann dior,21
1/9/2021,Positions,Ariana Grande,10
1/9/2021,Blinding Lights,The Weeknd,56
1/9/2021,Holy,Justin Bieber Featuring Chance The Rapper,15
1/9/2021,Dynamite,BTS,19
1/9/2021,Go Crazy,Chris Brown & Young Thug,34
1/9/2021,Laugh Now Cry Later,Drake Featuring Lil Durk,20
1/9/2021,I Hope,Gabby Barrett Featuring Charlie Puth,53
1/9/2021,All I Want For Christmas Is You,Mariah Carey,44
1/9/2021,Levitating,Dua Lipa Featuring DaBaby,13
1/2/2021,All I Want For Christmas Is You,Mariah Carey,43
1/2/2021,Rockin' Around The Christmas Tree,Brenda Lee,38
1/2/2021,Jingle Bell Rock,Bobby Helms,35
1/2/2021,A Holly Jolly Christmas,Burl Ives,19
1/2/2021,It's The Most Wonderful Time Of The Year,Andy Williams,20
1/2/2021,Feliz Navidad,Jose Feliciano,14
1/2/2021,Mood,24kGoldn Featuring iann dior,20
1/2/2021,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,13
1/2/2021,Last Christmas,Wham!,19
1/2/2021,Run Rudolph Run,Chuck Berry,8
12/26/2020,Willow,Taylor Swift,1
12/26/2020,All I Want For Christmas Is You,Mariah Carey,42
12/26/2020,Rockin' Around The Christmas Tree,Brenda Lee,37
12/26/2020,Jingle Bell Rock,Bobby Helms,34
12/26/2020,Mood,24kGoldn Featuring iann dior,19
12/26/2020,A Holly Jolly Christmas,Burl Ives,18
12/26/2020,It's The Most Wonderful Time Of The Year,Andy Williams,19
12/26/2020,Positions,Ariana Grande,8
12/26/2020,Dynamite,BTS,17
12/26/2020,Feliz Navidad,Jose Feliciano,13
12/19/2020,All I Want For Christmas Is You,Mariah Carey,41
12/19/2020,Mood,24kGoldn Featuring iann dior,18
12/19/2020,Rockin' Around The Christmas Tree,Brenda Lee,36
12/19/2020,Positions,Ariana Grande,7
12/19/2020,Jingle Bell Rock,Bobby Helms,33
12/19/2020,It's The Most Wonderful Time Of The Year,Andy Williams,18
12/19/2020,Blinding Lights,The Weeknd,54
12/19/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,17
12/19/2020,Holy,Justin Bieber Featuring Chance The Rapper,12
12/19/2020,Feliz Navidad,Jose Feliciano,12
12/12/2020,Mood,24kGoldn Featuring iann dior,17
12/12/2020,All I Want For Christmas Is You,Mariah Carey,40
12/12/2020,Positions,Ariana Grande,6
12/12/2020,Rockin' Around The Christmas Tree,Brenda Lee,35
12/12/2020,Dakiti,Bad Bunny & Jhay Cortez,5
12/12/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,16
12/12/2020,Holy,Justin Bieber Featuring Chance The Rapper,11
12/12/2020,I Hope,Gabby Barrett Featuring Charlie Puth,49
12/12/2020,Jingle Bell Rock,Bobby Helms,32
12/12/2020,Dynamite,BTS,15
12/5/2020,Life Goes On,BTS,1
12/5/2020,Mood,24kGoldn Featuring iann dior,16
12/5/2020,Dynamite,BTS,14
12/5/2020,Positions,Ariana Grande,5
12/5/2020,I Hope,Gabby Barrett Featuring Charlie Puth,48
12/5/2020,Holy,Justin Bieber Featuring Chance The Rapper,10
12/5/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,15
12/5/2020,Monster,Shawn Mendes & Justin Bieber,1
12/5/2020,Blinding Lights,The Weeknd,52
12/5/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,15
11/28/2020,Mood,24kGoldn Featuring iann dior,15
11/28/2020,Therefore I Am,Billie Eilish,2
11/28/2020,Positions,Ariana Grande,4
11/28/2020,I Hope,Gabby Barrett Featuring Charlie Puth,47
11/28/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,14
11/28/2020,Holy,Justin Bieber Featuring Chance The Rapper,9
11/28/2020,Blinding Lights,The Weeknd,51
11/28/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,14
11/28/2020,Dakiti,Bad Bunny & Jhay Cortez,3
11/28/2020,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,20
11/21/2020,Mood,24kGoldn Featuring iann dior,14
11/21/2020,Positions,Ariana Grande,3
11/21/2020,I Hope,Gabby Barrett Featuring Charlie Puth,46
11/21/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,13
11/21/2020,Blinding Lights,The Weeknd,50
11/21/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,13
11/21/2020,Holy,Justin Bieber Featuring Chance The Rapper,8
11/21/2020,Dakiti,Bad Bunny & Jhay Cortez,2
11/21/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,22
11/21/2020,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,19
11/14/2020,Mood,24kGoldn Featuring iann dior,13
11/14/2020,Positions,Ariana Grande,2
11/14/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,12
11/14/2020,Blinding Lights,The Weeknd,49
11/14/2020,I Hope,Gabby Barrett Featuring Charlie Puth,45
11/14/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,21
11/14/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,12
11/14/2020,34+35,Ariana Grande,1
11/14/2020,Dakiti,Bad Bunny & Jhay Cortez,1
11/14/2020,WAP,Cardi B Featuring Megan Thee Stallion,13
11/7/2020,Positions,Ariana Grande,1
11/7/2020,Forever After All,Luke Combs,1
11/7/2020,Mood,24kGoldn Featuring iann dior,12
11/7/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,11
11/7/2020,Blinding Lights,The Weeknd,48
11/7/2020,I Hope,Gabby Barrett Featuring Charlie Puth,44
11/7/2020,WAP,Cardi B Featuring Megan Thee Stallion,12
11/7/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,20
11/7/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,11
11/7/2020,Holy,Justin Bieber Featuring Chance The Rapper,6
10/31/2020,Mood,24kGoldn Featuring iann dior,11
10/31/2020,WAP,Cardi B Featuring Megan Thee Stallion,11
10/31/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,10
10/31/2020,Blinding Lights,The Weeknd,47
10/31/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,19
10/31/2020,I Hope,Gabby Barrett Featuring Charlie Puth,43
10/31/2020,Dynamite,BTS,9
10/31/2020,Rockstar,DaBaby Featuring Roddy Ricch,27
10/31/2020,Holy,Justin Bieber Featuring Chance The Rapper,5
10/31/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,10
10/24/2020,Mood,24kGoldn Featuring iann dior,10
10/24/2020,WAP,Cardi B Featuring Megan Thee Stallion,10
10/24/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,9
10/24/2020,Blinding Lights,The Weeknd,46
10/24/2020,Dynamite,BTS,8
10/24/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,18
10/24/2020,Rockstar,DaBaby Featuring Roddy Ricch,26
10/24/2020,I Hope,Gabby Barrett Featuring Charlie Puth,42
10/24/2020,Watermelon Sugar,Harry Styles,30
10/24/2020,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,9
10/17/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,17
10/17/2020,Dynamite,BTS,7
10/17/2020,WAP,Cardi B Featuring Megan Thee Stallion,9
10/17/2020,Mood,24kGoldn Featuring iann dior,9
10/17/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,8
10/17/2020,Blinding Lights,The Weeknd,45
10/17/2020,Rockstar,DaBaby Featuring Roddy Ricch,25
10/17/2020,I Hope,Gabby Barrett Featuring Charlie Puth,41
10/17/2020,Runnin,21 Savage & Metro Boomin,1
10/17/2020,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,1
10/10/2020,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1
10/10/2020,Dynamite,BTS,6
10/10/2020,WAP,Cardi B Featuring Megan Thee Stallion,8
10/10/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,7
10/10/2020,Mood,24kGoldn Featuring iann dior,8
10/10/2020,Blinding Lights,The Weeknd,44
10/10/2020,Rockstar,DaBaby Featuring Roddy Ricch,24
10/10/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,16
10/10/2020,Watermelon Sugar,Harry Styles,28
10/10/2020,I Hope,Gabby Barrett Featuring Charlie Puth,40
10/3/2020,Dynamite,BTS,5
10/3/2020,WAP,Cardi B Featuring Megan Thee Stallion,7
10/3/2020,Holy,Justin Bieber Featuring Chance The Rapper,1
10/3/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,6
10/3/2020,Mood,24kGoldn Featuring iann dior,7
10/3/2020,Rockstar,DaBaby Featuring Roddy Ricch,23
10/3/2020,Blinding Lights,The Weeknd,43
10/3/2020,Watermelon Sugar,Harry Styles,27
10/3/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,15
10/3/2020,I Hope,Gabby Barrett Featuring Charlie Puth,39
9/26/2020,WAP,Cardi B Featuring Megan Thee Stallion,6
9/26/2020,Dynamite,BTS,4
9/26/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,5
9/26/2020,Rockstar,DaBaby Featuring Roddy Ricch,22
9/26/2020,Blinding Lights,The Weeknd,42
9/26/2020,Mood,24kGoldn Featuring iann dior,6
9/26/2020,Watermelon Sugar,Harry Styles,26
9/26/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,14
9/26/2020,Before You Go,Lewis Capaldi,33
9/26/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",32
9/19/2020,WAP,Cardi B Featuring Megan Thee Stallion,5
9/19/2020,Dynamite,BTS,3
9/19/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,4
9/19/2020,Rockstar,DaBaby Featuring Roddy Ricch,21
9/19/2020,Blinding Lights,The Weeknd,41
9/19/2020,Mood,24kGoldn Featuring iann dior,5
9/19/2020,Watermelon Sugar,Harry Styles,25
9/19/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",31
9/19/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,13
9/19/2020,Popstar,DJ Khaled Featuring Drake,8
9/12/2020,Dynamite,BTS,2
9/12/2020,WAP,Cardi B Featuring Megan Thee Stallion,4
9/12/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,3
9/12/2020,Rockstar,DaBaby Featuring Roddy Ricch,20
9/12/2020,Blinding Lights,The Weeknd,40
9/12/2020,Watermelon Sugar,Harry Styles,24
9/12/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",30
9/12/2020,Mood,24kGoldn Featuring iann dior,4
9/12/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,12
9/12/2020,Before You Go,Lewis Capaldi,31
9/5/2020,Dynamite,BTS,1
9/5/2020,WAP,Cardi B Featuring Megan Thee Stallion,3
9/5/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,2
9/5/2020,Rockstar,DaBaby Featuring Roddy Ricch,19
9/5/2020,Blinding Lights,The Weeknd,39
9/5/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",29
9/5/2020,Watermelon Sugar,Harry Styles,23
9/5/2020,Roses,SAINt JHN,23
9/5/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,11
9/5/2020,Before You Go,Lewis Capaldi,30
8/29/2020,WAP,Cardi B Featuring Megan Thee Stallion,2
8/29/2020,Laugh Now Cry Later,Drake Featuring Lil Durk,1
8/29/2020,Rockstar,DaBaby Featuring Roddy Ricch,18
8/29/2020,Blinding Lights,The Weeknd,38
8/29/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",28
8/29/2020,7 Summers,Morgan Wallen,1
8/29/2020,Watermelon Sugar,Harry Styles,22
8/29/2020,Roses,SAINt JHN,22
